frame,person,box_confidence,x0,y0,c0,x1,y1,c1,x2,y2,c2,x3,y3,c3,x4,y4,c4,x5,y5,c5,x6,y6,c6,x7,y7,c7,x8,y8,c8,x9,y9,c9,x10,y10,c10,x11,y11,c11,x12,y12,c12,x13,y13,c13,x14,y14,c14,x15,y15,c15,x16,y16,c16
0,0,0.8901367,922.0,528.5,0.05090332,921.5,525.0,0.0413208,924.0,523.5,0.04458618,909.5,531.0,0.8173828,937.0,526.5,0.80859375,896.0,564.0,0.99316406,958.5,551.0,0.9970703,886.0,605.0,0.9272461,996.0,560.0,0.9584961,907.5,600.5,0.65234375,978.5,566.0,0.78466797,915.5,651.0,0.9970703,954.0,644.0,0.9980469,913.0,716.0,0.99072266,951.0,699.0,0.98779297,920.0,792.0,0.9946289,950.5,764.0,0.9921875
0,1,0.50878906,1070.0,394.5,0.9848633,1074.0,390.5,0.97998047,1067.0,390.5,0.98095703,1080.0,390.5,0.77490234,1062.0,390.0,0.7919922,1088.0,407.0,0.99853516,1053.0,404.0,0.9980469,1103.0,428.0,0.99072266,1036.0,417.5,0.9848633,1099.0,453.0,0.98095703,1027.0,438.5,0.97314453,1082.0,457.0,0.9980469,1062.0,455.5,0.9980469,1079.0,498.0,0.99316406,1066.0,496.0,0.99316406,1078.0,538.0,0.97265625,1074.0,533.0,0.97265625
1,0,0.890625,922.0,529.0,0.052124023,921.5,525.5,0.04296875,924.0,524.0,0.045532227,910.0,531.0,0.8198242,937.0,526.5,0.80810547,896.0,564.0,0.99316406,958.5,551.0,0.9970703,886.5,605.0,0.93115234,996.5,560.5,0.95751953,907.5,600.0,0.6621094,978.0,566.0,0.7758789,915.5,651.0,0.9970703,954.0,645.0,0.9980469,913.0,716.0,0.9902344,951.5,699.0,0.9873047,919.5,792.0,0.9941406,950.5,764.0,0.9921875
1,1,0.50634766,1070.0,394.5,0.984375,1074.0,391.0,0.97998047,1067.0,390.5,0.98046875,1080.0,390.5,0.7753906,1062.0,390.5,0.7871094,1088.0,407.0,0.99853516,1053.0,404.0,0.9980469,1103.0,428.0,0.99072266,1035.0,417.5,0.98535156,1098.0,452.5,0.98046875,1027.0,439.0,0.97314453,1082.0,457.0,0.9980469,1062.0,455.5,0.9980469,1079.0,498.0,0.99316406,1067.0,496.0,0.99316406,1078.0,538.0,0.97265625,1074.0,533.5,0.97314453
2,0,0.89160156,922.0,529.0,0.051086426,921.0,525.5,0.042022705,923.5,524.0,0.04434204,909.5,530.5,0.8203125,937.0,526.5,0.80566406,896.0,564.0,0.99316406,958.5,551.0,0.9970703,886.5,606.0,0.9301758,996.0,560.5,0.95751953,908.0,599.5,0.65966797,978.0,566.0,0.7788086,916.0,651.0,0.9970703,954.5,645.0,0.9980469,913.0,716.0,0.9902344,951.5,699.0,0.9868164,920.0,792.0,0.9941406,951.0,764.0,0.9921875
2,1,0.5229492,1071.0,394.5,0.9838867,1074.0,390.5,0.9790039,1067.0,390.5,0.9814453,1080.0,390.5,0.7583008,1062.0,390.0,0.80371094,1088.0,407.0,0.99853516,1053.0,404.0,0.9980469,1103.0,428.0,0.99072266,1035.0,418.0,0.98583984,1099.0,452.5,0.98046875,1027.0,439.5,0.9741211,1082.0,457.5,0.9980469,1061.0,456.0,0.9980469,1079.0,498.5,0.9926758,1067.0,496.5,0.99316406,1078.0,538.5,0.9711914,1074.0,534.0,0.9716797
3,0,0.8925781,922.0,529.0,0.052825928,921.0,525.5,0.04336548,923.5,524.0,0.046905518,909.5,530.5,0.8203125,937.0,526.5,0.81103516,896.0,563.5,0.99316406,958.5,551.0,0.9970703,886.0,605.0,0.9321289,996.0,560.0,0.95654297,907.5,599.5,0.6621094,978.0,565.5,0.7680664,916.0,651.0,0.9970703,954.5,645.0,0.9980469,913.0,715.0,0.9902344,951.5,699.0,0.9868164,920.0,791.0,0.9946289,950.5,764.0,0.9921875
3,1,0.52197266,1071.0,394.5,0.984375,1074.0,390.5,0.9790039,1067.0,390.5,0.9814453,1080.0,390.5,0.7529297,1062.0,390.0,0.80859375,1088.0,407.0,0.99853516,1053.0,404.0,0.9980469,1103.0,428.0,0.99072266,1035.0,418.0,0.9863281,1099.0,453.0,0.98095703,1026.0,439.5,0.97558594,1082.0,457.0,0.9980469,1062.0,456.0,0.9980469,1079.0,498.5,0.9926758,1067.0,496.5,0.99316406,1078.0,538.5,0.9716797,1074.0,534.0,0.97216797
4,0,0.890625,921.5,529.0,0.05166626,921.0,525.5,0.042236328,923.5,523.5,0.045440674,909.5,530.5,0.82177734,937.0,526.5,0.8105469,896.0,564.0,0.99316406,958.5,551.0,0.9970703,886.5,606.0,0.92871094,996.0,560.0,0.95654297,907.5,599.5,0.6513672,977.0,566.0,0.76953125,916.0,651.0,0.9970703,954.5,645.0,0.9980469,913.0,715.0,0.9902344,951.5,699.0,0.9873047,920.0,792.0,0.9941406,950.5,764.0,0.9921875
4,1,0.52001953,1071.0,394.5,0.9838867,1074.0,391.0,0.9785156,1067.0,391.0,0.9814453,1080.0,390.5,0.75,1061.0,390.0,0.80859375,1088.0,407.5,0.99853516,1053.0,404.5,0.9980469,1103.0,428.5,0.99072266,1035.0,418.0,0.9863281,1099.0,453.0,0.98095703,1026.0,439.5,0.97509766,1082.0,457.5,0.9980469,1062.0,456.0,0.9980469,1079.0,498.5,0.9926758,1067.0,497.0,0.99316406,1078.0,538.5,0.9716797,1074.0,534.0,0.9716797
